4992, 6399
2125, 15514
3536, 5925
2335, 18673
4583, 18287
4840, 383
2197, 19570
9278, 18064
11239, 15196
11370, 2913
12180, 8329
3995, 295
489, 14790
4957, 6655
8901, 17472
9609, 11891
8150, 1128
4878, 5638
3218, 18469
6613, 17341
4922, 6870
12274, 14985
8457, 67
8230, 18037
13482, 8030
1841, 13192
8671, 12636
5517, 7544
5142, 7818
13727, 10828
11166, 9581
7214, 14699
13367, 11866
693, 5222
2167, 4015
1093, 15999
2433, 8300
13811, 4405
12608, 3953
2338, 6989
8090, 11030
7969, 4318
2896, 8609
1629, 13977
14769, 19815
6161, 11988
14629, 16482
233, 14929
6487, 8747
5399, 15151
3044, 405
14020, 11405
12321, 10022
14384, 2998
10417, 16050
8621, 15310
3643, 12181
2102, 6743
9154, 10541
5317, 11904
10798, 13458
4641, 3371
6727, 18067
6606, 16538
13538, 8911
8631, 10997
2389, 8972
12950, 9082
13644, 13975
9308, 5953
10606, 11096
12093, 7467
14497, 5201
2786, 3783
7553, 10868
3874, 64
1944, 18558
898, 10886
9528, 18420
2017, 12248
4028, 3160
10889, 16107
11996, 15112
7399, 14906
14079, 2579
11596, 6826
1851, 10521
14556, 17400
7856, 12190
859, 1473
5386, 970
2303, 12653
12965, 8096
2105, 3289
12091, 2265
13, 1440
4137, 17181
4241, 18214
3456, 13885
9411, 16961
6639, 11279
3218, 19396
2317, 10567
12318, 9705
14076, 18927
8588, 16378
7985, 11683
3802, 13179
10080, 9963
14937, 1240
13709, 15702
5880, 13671
10405, 79
2940, 4090
1187, 6239
13869, 15971
5734, 159
6892, 5796
6111, 12791
9921, 10194
10009, 17592
13033, 16133
13585, 6035
357, 5919
1501, 12212
12958, 18134
1201, 9278
8916, 3552
10612, 14916
14165, 17594
1065, 16609
4026, 4117
2906, 12117
13165, 18141
10526, 13341
1423, 14951
2467, 16846
2335, 17943
8743, 2637
12309, 12203
1392, 16718
2388, 8872
2500, 17927
9949, 18559
8266, 5616
1664, 6843
9311, 10201
422, 16073
11077, 10119
4914, 17253
8310, 16365
7302, 10653
2430, 8388
12697, 5092
2222, 4135
198, 4309
10821, 13773
11728, 12162
13065, 8771
5369, 10904
11707, 11269
13298, 12880
1017, 11641
14485, 17621
6053, 17353
6198, 15821
9906, 667
9720, 18791
6134, 750
7763, 12479
14435, 1587
12459, 15120
12144, 12262
2061, 15479
8461, 14855
10442, 18687
2099, 4122
7830, 175
8122, 1559
5114, 11756
13020, 3758
5285, 18668
4246, 3323
10297, 16569
4735, 16993
4226, 19229
9001, 391
2297, 1744
1197, 5356
9327, 11548
3411, 4040
11989, 16521
5631, 13184
3736, 19562
142, 10885
1834, 13442
296, 6282
7571, 148
12344, 9249
7607, 3591
2078, 12337
3881, 3026
269, 13077
1093, 13961
8048, 15316
9978, 6660
7144, 1112
4806, 10152
14729, 2349
6852, 5717
7995, 7544
14041, 3628
12131, 19282
1317, 7834
10249, 19488
2572, 12517
10757, 19216
6380, 10577
9435, 18930
1240, 272
13669, 12176
1843, 11460
10903, 12236
11089, 11250
10118, 1429
3279, 1669
5978, 13701
7635, 6364
3227, 15001
854, 15921
13999, 7342
7781, 16327
6161, 16053
4911, 11695
9734, 17906
14457, 9719
2872, 2359
10261, 14384
10117, 2744
12257, 9018
10666, 875
52, 12302
5633, 6206
3411, 16264
14323, 12180
10570, 10447
5686, 9565
11462, 14146
12862, 8849
279, 16800
6994, 2313
458, 13076
7758, 18331
6060, 10395
11438, 6320
11484, 7508
834, 12003
5791, 14084
7628, 4088
12711, 12578
9774, 14998
11645, 9765
12865, 18114
7131, 11912
11001, 18266
6022, 14263
8852, 4427
7993, 16282
2425, 3856
11229, 15899
2957, 1991
6860, 5044
1320, 11025
13581, 11898
2814, 19110
233, 19968
802, 16371
13212, 5770
14629, 3314
4383, 5135
12060, 5059
12475, 4009
3512, 9292
13824, 2173
8606, 11114
9131, 15425
4422, 8051
678, 19471
13793, 3050
2881, 19397
7260, 7966
4238, 8725
2610, 7936
6802, 9552
2237, 4863
2119, 11082
13412, 10049
1855, 12842
10689, 7104
9731, 2705
1745, 13278
9586, 16260
2798, 3783
11645, 8215
9634, 4482
6503, 2808
505, 13075
673, 1557
